,blockSize,layer,training f1,validation f1,Best Model
0,32,"[6, 16, 8, 10]",0.9032893896437064,0.9039029835811231,0
1,32,"[6, 12, 8, 10]",0.8992699509388676,0.8997401241126969,0
2,32,"[6, 10, 10, 10]",0.9034483166153939,0.9039389470387799,0
3,32,"[6, 20, 20, 10]",0.9023189225865225,0.9031192207883217,0
4,32,"[6, 16, 16, 10]",0.9031305831526228,0.903673864927036,0
5,32,"[6, 8, 8, 10]",0.9031198707771086,0.9038081566775543,0
6,32,"[6, 8, 10, 10]",0.9032580578618831,0.9041022408977591,0
7,32,"[6, 12, 12, 10]",0.9050344808261772,0.9054292447160914,1000
8,32,"[6, 16, 20, 10]",0.9029710122920505,0.9035434742958594,0
9,32,"[6, 8, 20, 10]",0.9027644389558142,0.9033932199934649,0
10,64,"[6, 16, 8, 10]",0.9032268145991875,0.9037802667417546,0
11,64,"[6, 12, 8, 10]",0.8986573331195262,0.8992428081628647,0
12,64,"[6, 10, 10, 10]",0.9031314143639697,0.9034961064744489,0
13,64,"[6, 20, 20, 10]",0.9031947744651395,0.9037080461131612,0
14,64,"[6, 16, 16, 10]",0.9034945675547842,0.9041554232633141,0
15,64,"[6, 8, 8, 10]",0.9035030731957576,0.903968635420341,0
16,64,"[6, 8, 10, 10]",0.8995364867581881,0.9000263271325006,0
17,64,"[6, 12, 12, 10]",0.9033196205999601,0.903976864580907,0
18,64,"[6, 16, 20, 10]",0.9027328874601315,0.9031575137241205,0
19,64,"[6, 8, 20, 10]",0.9034153459969884,0.9038515179917526,0
20,128,"[6, 16, 8, 10]",0.9031119730266625,0.90380062241657,0
21,128,"[6, 12, 8, 10]",0.8989474799961337,0.8994627725026025,0
22,128,"[6, 10, 10, 10]",0.903453091842438,0.9038563358103118,0
23,128,"[6, 20, 20, 10]",0.9030829925704653,0.9035832489072262,0
24,128,"[6, 16, 16, 10]",0.9030708521697699,0.9036931801468076,0
25,128,"[6, 8, 8, 10]",0.9034032499589522,0.9040619229628383,0
26,128,"[6, 8, 10, 10]",0.8976112559180295,0.8986175595749804,0
27,128,"[6, 12, 12, 10]",0.9032381114696622,0.9037851992162965,0
28,128,"[6, 16, 20, 10]",0.9033886216741417,0.9039736624144356,0
29,128,"[6, 8, 20, 10]",0.9026709340564376,0.9030695725881112,0
30,256,"[6, 16, 8, 10]",0.9028021605978773,0.9033747550474666,0
31,256,"[6, 12, 8, 10]",0.8994300034829367,0.8998484647295876,0
32,256,"[6, 10, 10, 10]",0.9029628479770109,0.9034238083701587,0
33,256,"[6, 20, 20, 10]",0.9029918716341323,0.9035471653347174,0
34,256,"[6, 16, 16, 10]",0.9030707292005584,0.9036354474208087,0
35,256,"[6, 8, 8, 10]",0.9027218567427842,0.9032998952064054,0
36,256,"[6, 8, 10, 10]",0.8977961220702527,0.8985193619019818,0
37,256,"[6, 12, 12, 10]",0.9036301570343596,0.9041710201441562,0
38,256,"[6, 16, 20, 10]",0.9031401390756388,0.9036918157995513,0
39,256,"[6, 8, 20, 10]",0.9027482063108594,0.9032256727117519,0
